gene,compound,selectionClass,nModelsAdjusted,nMutAdjusted,nHotspotNegativeAdjusted,nInformativeLineages,adjustedSensitisation,adjustedSensitisationCiLow,adjustedSensitisationCiHigh,adjustedFdr
BRAF,VEMURAFENIB,pre-specified pathway control,463,63,400,13,0.1018920431,0.07125333818,0.132530748,3.609678789e-07
BRAF,ENCORAFENIB,pre-specified pathway control,259,45,214,11,0.155628297,0.08924982523,0.2220067688,0.001756622269
BRAF,DABRAFENIB,pre-specified pathway control,482,62,420,13,0.1793753351,0.1053030372,0.2534476331,0.0008840461949
PIK3CA,ALPELISIB,pre-specified pathway control,527,84,443,15,0.05803044972,0.03838177737,0.07767912206,1.397219424e-05
PIK3CA,TASELISIB,pre-specified pathway control,337,68,269,12,0.1017643998,0.0745303545,0.1289984452,5.077755e-09
PIK3CA,COPANLISIB,pre-specified pathway control,519,84,435,15,0.1131886689,0.08627290333,0.1401044345,6.88344002e-12
KRAS,TRAMETINIB,pre-specified pathway control,490,126,364,13,0.1222712484,0.07966586063,0.1648766362,3.056430596e-05
KRAS,BINIMETINIB,pre-specified pathway control,255,86,169,9,0.0593554317,0.01711072182,0.1016001416,0.1886249532
NRAS,TRAMETINIB,pre-specified pathway control,511,43,468,13,0.1029722605,0.04817191126,0.1577726098,0.0243726774
NRAS,BINIMETINIB,pre-specified pathway control,240,18,222,8,0.1046678818,0.03567234134,0.1736634222,0.1270302781
PIK3R1,MLN0128,additional FDR-supported context,207,13,194,5,0.09963270315,0.06241112148,0.1368542848,0.0001985891701
STK11,EVEROLIMUS,additional FDR-supported context,208,10,198,5,0.1348972426,0.07530923079,0.1944852545,0.003021101447
RAC1,RKI-1447,additional FDR-supported context,140,5,135,5,0.04753655081,0.0331106419,0.06196245971,2.097499e-06
FBXW7,BERZOSERTIB,additional FDR-supported context,305,16,289,8,0.04437888813,0.01939614903,0.06936162722,0.04201961881
TP53,(+)-CAMPTOTHECIN,additional FDR-supported context,474,279,195,20,0.07885342689,0.03653148755,0.1211753662,0.02669584831
