gene,freqPct,pctTierMatched,nModelsAdjusted,nMutAdjusted,nHotspotNegativeAdjusted,nInformativeLineages,adjustedEffect,adjustedCiLow,adjustedCiHigh,adjustedFdr,nSensitisingCompounds,bestPrismSensitisation,bestPrismFdr,bestPrismCompound
KRAS,12.62700884,96.87002653,1030,177,853,20,-1.224490717,-1.358532345,-1.090449089,4.184744398e-61,15,0.1342957313,1.198001759e-06,RO-4987655
TP53,37.41530626,79.7148003,1200,626,574,26,-0.4519189323,-0.5114323907,-0.3924054739,6.482253109e-45,2,0.07885342689,0.01576227218,(+)-CAMPTOTHECIN
NRAS,2.561051403,88.06351007,821,62,759,15,-1.35343868,-1.544697751,-1.162179608,1.819667028e-38,9,0.161224232,0.007177086216,RO-4987655
BRAF,4.360806541,72.21489782,882,91,791,17,-0.8209276894,-0.9601642851,-0.6816910938,5.273044127e-28,6,0.1793753351,3.609678789e-07,DABRAFENIB
PIK3CA,11.09103265,80.07428708,1078,120,958,20,-0.5183522503,-0.6136396485,-0.4230648521,1.540887269e-24,9,0.1131886689,6.88344002e-12,COPANLISIB
CTNNB1,3.596050962,63.28778299,522,31,491,10,-0.6194710657,-0.8093335626,-0.4296085688,1.710978616e-09,23,0.1277079116,0.0001399585083,IDASANUTLIN
PTEN,6.162352388,64.97886332,841,50,791,16,-0.2528625691,-0.3373035955,-0.1684215428,2.671972149e-08,0,0,1,—
HRAS,0.7004032625,68.23899371,517,14,503,8,-0.9395158264,-1.267390459,-0.6116411935,1.158995154e-07,3,0.04812116429,0.0001155684042,IODIPAMIDE
PIK3R1,3.066292206,27.31890459,443,19,424,7,-0.3525729791,-0.5380690557,-0.1670769026,0.0007306334511,10,0.09963270315,0.0001985891701,MLN0128
NFE2L2,1.417132187,49.55981357,393,22,371,7,-0.4534211435,-0.7021869629,-0.2046553241,0.001185176564,2,0.05658397105,0.008664253753,FLI-06
FBXW7,3.555345591,54.16191562,744,34,710,12,-0.1512100089,-0.2376278898,-0.06479212798,0.001763282769,1,0.04437888813,0.04201961881,BERZOSERTIB
RB1,4.456614466,42.94289672,492,18,474,7,-0.1422333787,-0.2240777462,-0.0603890113,0.001788412514,3,0.08674920487,1.596607755e-05,JNJ-26854165
RAC1,0.4939191268,32.57698541,625,12,613,11,-0.2862442598,-0.4602921617,-0.1121963579,0.003112051043,3,0.04753655081,2.097499e-06,RKI-1447
CREBBP,4.152025369,24.12935323,514,10,504,7,-0.1943129872,-0.3320540689,-0.05657190541,0.0128075502,12,0.2064836669,3.360441787e-05,PF-477736
RHOA,0.8338477932,29.06641001,483,15,468,8,-0.2677265115,-0.4816270514,-0.0538259715,0.02949365694,6,0.1109080147,0.003797071755,CANERTINIB
ARID1A,8.374671045,53.86686068,355,11,344,6,0.135087004,0.02551246343,0.2446615446,0.03066663346,3,0.0758329503,0.0001795129268,CAPMATINIB
EGFR,4.524659547,35.1523742,479,13,466,6,-0.3959842547,-0.8459746617,0.05400615238,0.1308702666,9,0.06064596095,4.2212864e-13,DIOSCIN
STK11,2.090141828,39.60288809,307,17,290,7,0.108162245,-0.0331191403,0.2494436302,0.1887192742,6,0.1348972426,1.596607755e-05,EVEROLIMUS
